Subject	Predicate	Object
treating the gastrointestinal dysfunction	will alleviate	such ASD - associated symptoms
treatment	has demonstrate	beneﬁcial in alleviating ASD - like symptoms in murine model
probiotic Biﬁdobacterium infantis	improve	the behavioral abnormalities
probiotic Biﬁdobacterium infantis	improve	stress - associated gastrointestinal dysfunction
Gut microbial products	regulate	murine gastrointestinal motility
Metabolic endotoxemia	initiate	obesity
Metabolic endotoxemia	initiate	insulin resistance
Dietary ﬁbre - based SCFA mixtures	promote	both protection
Dietary ﬁbre - based SCFA mixtures	promote	repair
Systematic information	improve	adherence
Microbiota - generated metabolites	promote	metabolic beneﬁts
The microbiome	regulate	energy metabolism
butyrate	regulate	energy metabolism
Vitamin D deﬁciency	change	the intestinal microbiome
Metabolism	link	bacterial bioﬁlms
Metabolism	link	colon carcinogenesis
Microbiota	control	the homeostasis
Intestinal microbiota metabolism	promote	atherosclerosis
Biﬁdobacterium longum	modulate	immune responses
Urolithins	exhibit	estrogenic and antiestrogenic activities
Human originated bacteria	produce	conjugated linoleic acid
Dysbiosis	may trigger	autoimmune diseases
Biﬁdobacterium strains	suppress	the pro - inﬂammatory milieu
T4 phage tail adhesin gp12	counteract	LPS - induced inﬂammation
the blood – brain barrier dysfunction	induce	b y activated microglia
Fusobacterium nucleatum	promote	colorectal carcinogenesis
Biﬁdobacterium longum	inhibit	colon cancer
Commensal Biﬁdobacterium	promote	antitumor immunity
Corticotropin - releasing hormone	stimulate	thermogenesis
Chronic kidney disease	alter	intestinal microbial ﬂora
Symbiotic bacterial metabolites	regulate	gastrointestinal barrier function
Gut ﬂora metabolism	promote	cardiovascular disease
Metabolomics analysis	reveal	large of gut microﬂora on mammalian blood metabolites
Bacteroides fragilis enterotoxin	induce	c - Myc expression
Bacteroides fragilis enterotoxin	induce	cellular proliferation
A human colonic commensal	promote	colon tumorigenesis
Fusobacterium nucleatum	potentiate	intestinal tumorigenesis
Short - chain fatty acids	stimulate	leptin production
probiotic supplementation	improve	intestinal microbial balance
probiotic supplementation	improve	immunity
probiotic supplementation	improve	overall g rowth
probiotic supplementation	increase	the microbial diversity
probiotic supplementation	increase	richness
Taxonomic composition comparison	determine	operational taxonomic units
Transcriptome analysis	produce	RNA - seq reads
probiotic supplementation	increase	the microbial diversity
probiotic supplementation	increase	richness
plantarum in nursery pig diets	increase	growth performance
plantarum in nursery pig diets	increase	blood immunoglobulin concentrations
plantarum complex	elevate	the fecal population
size	affect	the absorption capacity
the gut microbiota	undergo	dramatic and partly revocable alterations
The ratio	can affect	the capacity
The relative abundance	occupy	the largest part
their incre	ase	abundance
The study	administrate	L
rhamnosus GG	did not detect	the statistical difference
we	perform	the enumeration
we	predict	the expression pattern
We	perform	gene ontology analysis
which	constitute	a diverse family
The gene expression analysis	identify	PLA2G2A
BPI	play	a significant function
SLPI	inhibit	several leukocyte serine proteases
transcriptome data	present	probiotic suppl ementation
These gene expression data	imply	attenuated inflammation status
Two - component signaling cascade	affect	flagellar rotation
chemotaxis - related proteins	affect	flagellar rotation
probiotic supplemenation	increase	branched chain amino acid biosynthesis
probiotic supplemenation	increase	butyrate metabolism
Branched chain amino acids	promote	intestinal development
Branched chain amino acids	promote	maintenance
Branched chain amino acids	promote	immune defense functions
Oral treatment	reduce	Brachyspira pilosicoli - induced pathology
Diet	shape	the gut microbiome
Lactobacillus	promote	intestinal development
plantarum PFM	promote	intestinal development
Probiotic Lactobacillus rhamnosus GG	induce	alterations
Interleukin - 22 - induced antimicro - bial phospholipase A2 group IIA	mediate	protective innate immunity
gut bacteria	play	important roles
Important bacterial PAMP ligands	comprise	lipopolysaccharides
Important bacterial PAMP ligands	comprise	peptidoglycans
Important bacterial PAMP ligands	comprise	lip - oteichoic acid
Important bacterial PAMP ligands	comprise	ﬂagellin
Important bacterial PAMP ligands	comprise	muramyldipeptide
Microbiota metabolites	affect	host metabolism
SCFAs	trigger	the secretion
, butyrate	activate	b - oxidation
, butyrate	activate	oxidative phosphorylation
intratumoral expression	can inhibit	tumor growth
copri	show	beneﬁcial effects
recent study	show	that P . copri and Bacteroides vulgatus exacerbate glucose tolerance
whether P . copri works as a beneﬁcial or deleterious bacterium	require	further investigation
Bacteroides	fragili	Anti - inﬂammations
muciniphila	modulate	the endocannabinoid ( eCB ) system
A . muciniphila	may involve	anticancer immunotherapy
muciniphila	improve	the compromised efﬁcacy
muciniphila	show	many beneﬁcial effects
fragilis strains	involve	the abdominal infections
fragilis strains	show	many beneﬁcial effects
fragilis polysaccharide A	direct	microbiota
fragilis polysaccharide A	direct	host interactions
goldsteinii als	show	its potential
a water extract	reduce	obesity
a water extract	reduce	inﬂammation
a water extract	reduce	resistance
a water extract	reduce	insulin
A high molecular weight polysaccharide fraction	lower	body weight
g oldsteinii bacteria	reduce	weight gain
g oldsteinii bacteria	reduce	obesity - associated metabolic disorders
Subclinical - dose endotoxin	sustain	low - grade inﬂammation
Ganoderma lucidum	reduce	obesity
Butyrate	enhance	the intestinal barrier
Microbiota - activated PPAR - gamma signaling	inhibit	dysbiotic Enterobacteriaceae expansion
Commensal Biﬁdobacterium	promote	antitumor immunity
Human gut microbes	impact	host serum metabolome
Human gut microbes	impact	insulin sensitivity
The human commensal Bacteroides fragilis	bind	intestinal mucin
Plasmacytoid dendritic cells	mediate	anti - inﬂammatory responses
Human genetics	shape	the gut microbiome
Eubacterium limosum ameliorates	attenuate	colonic inﬂammatory action
experimental colitis	attenuate	colonic inﬂammatory action
Enterococcus hirae	facilitate	cyclophosphamide - induced therapeutic immunomodulatory effects
barnesiella	facilitate	cyclophosphamide - induced therapeutic immunomodulatory effects
intestinihominis	facilitate	cyclophosphamide - induced therapeutic immunomodulatory effects
intestinal lumen microflora	influence	CRC risk
mucosa - associated microbiota	affect	CRC risk
The highly enriched major Gram - negative bacteria	exhibit	direct interaction
enriched Fusobacteria	infect	intestinal tissue
Synergistetes	infect	intestinal tissue
Mucosa adherent microbial structures	exhibit	similarity
the swab microflora	represent	a combination
the swab microflora	represent	a mucosa population
the segmented filamentous bacteria	induce	inflammation
prausnitzii	induce	colonization resistance
Faecalibacterium	play	a probiotic role
R . gnavus	produce	an antibacterial peptide
gingivalis	penetrate	periodontal tissue
the enriched bacteria Desulfovibrio	reduce	sulfate
intestinal lumen microflora	influence	CRC risk
Fusobacterium nucleatum	could cause	colorectal cancer
an infection	could cause	colorectal cancer
reducing inflammation	promote	engraftment of the healthy donor microbiota
a higher Simpson dominance	mean	a higher concentration
A subgroup	reach	a successful combined clinical and endo scopic remission
our analyses	highlight	a potentially beneficial role
we	identify	several other bacterial families
which	exhibit	associations
those who received FMT from donor	require	stronger micro biota changes
Prevotellaceae	constitute	a sizable proportion
Screening the patients ( and donors ) for Prevotellaceae before and during treatment and matching donors to patients	might improve	the response
higher levels of Prevotellaceae	may confer	health benefits
the intestinal microbiota	exhibit	complex interactions
Mucosa - associated gut microbiota	reflect	clinical course
Perturbation	enhance	host susceptibility
Cultivation - independent genomes	expand	taxonomic - profiling capabilities
Fecal microbiota transplantation	induce	remission
Kae	can attenuate	lipopolysaccharide ( LPS ) - induced murine neuroinﬂammation
Kae	can suppress	LPS / ATP - induced inﬂammatory responses
Kae supplementation	improve	the intestinal barrier
DSS treatment	cause	severe enteric mucosal injury
Kae	could alleviate	the gross symptoms
Kae	attenuate	DSS - Triggered Pro - Inﬂammatory Responses
DSS	trigger	signiﬁcantly increased serum IL
DSS	trigger	TNF - a levels
Kae supplementation	reverse	this tendency
DSS treatment	increase	mRNA level expression
Kae pre - treatment	reveal	an improvement
the anti - inﬂammation effects	involve	maintenance
Kae	reshape	the Diversity
Kae	reshape	Richness
DSS	trigger	metabolic endotoxemia
Kae pretreatment	inhibit	DSS - induced expression
FMT	increase	colon length
FMT	increase	reduced DAI scores
Kae	increase	the diversity
Kae	increase	richness
Kae	could alleviate	epithelial barrier dysfunction
Kae supplementation	alleviate	UC
The major phyla constituting	include	Firmicutes
The major phyla constituting	include	Bacteroides
intestinal microorganisms	include	Firmicutes
intestinal microorganisms	include	Bacteroides
Kae	could reverse	the F / B ratio
Kae	suppress	the LPS - TLR4 - NF - kB signaling pathway
Kae	reduce	the intestinal permeability
Kae	could restore	the expression
Kae	exert	immunoregulatory effects
Kae	exert	excellent anti - UC effects
Kae	reduce	LPS levels
Kaempferol	inhibit	the Invasion
Kaempferol	inhibit	Migration
Non - Soya Legume - Based Therapeutic Lifestyle Change Diet	reduce	Inﬂammatory Status
Dietary Kaempferol 	suppresses	Inﬂammation
this act in part by causing the accumulation of misfolded proteins , in addition to producing other deleterious model	remain	the gold standard
mutations	cause	an inherited vulnerability
through the oral administration	alleviate	most of Clinical Characteristics of PD these symptoms
dopamine antagonists	occur	fre - Hydrocephalus : normal pressure hydrocephalus
depletors Hemiatrophy - hemiparkinsonism Abnormalities	occur	fre - Hydrocephalus : normal pressure hydrocephalus
they	project	Progressive supranucle ar palsy
putamenal DA	is deplete	80 %
most PD patients	suffer	considerable motor disability
Bradykinesia	may impair	the minals
Immunostaining	reveal	a Lewy body
some patients	develop	to the onset
Human epidemiological studies	have implicate	resi - dence
quaternary ammonium cation	prevent	its passage
some environmental factors	do modify	PD susceptibility
Pathogenic mutations	may induce	abnormal protein conformations
misfolded proteins	cause	toxicity
misfolded proteins	cause	damage cells
Lewy bodies	promote	toxicity
LBs	contain	oxidatively modified - synuclein
Several herbicides	induce	misfolding
pesticides	induce	misfolding
long thought to play a cumulation of misfolded proteins	may provoke	a vicious cycle
MPTP	block	the mitochondrial electron
PCD	occur	the mitochondrial respiration
that	display	fea - normally produced as byproducts , including hydrogen tures of apoptosis , a morphological correlate of PCD
oxidation	produce	DA - quinone
DA - quinone	damage	proteins
sporadic and inherited PD , or posed differently	does take	many decades
inherited PD	does take	many decades
Presumably , all of these tox - cell - based ( e . g . , stem cell ) or pharmacological thera - ins	provoke	the formation
pharmacological thera - ins	provoke	the formation
6 - OHDA	produce	a more protracted eration
gene therapy	mimic	the motor symptoms ways
These re - minergic neurons	share	key molecular features
rotenone	exert	a more widespread PD
dopaminergic neurons	display	The herbicide paraquat ( N , N - dimethyl - 4 - 4 - bipiridi - sensitivity
As noted above , In addition , the use of rotenone in rodents is technically paraquat	show	structural similarity
paraquat	does penetrate	the blood
its CNS distribu - relationship	does not parallel	any known enzymatic or neuroana - death
the an irreversible and severe parkinsonian syndrome char - investigators	find	clear evidence
Rote - exhibit preferential degeneration of putamenal versus none	bind	mitochondrial complex
dopa - rotenone	may enter	all cells
Neuromelanin	may contribute	neurodegenera
the pro - toxin trophic factor ( GDNF ) both	limit	MPTP - MPTP
the pro - toxin trophic factor ( GDNF ) both	limit	the only cells
deletion	prevent	MPTP - induced do - kinsonism
heterozy - gous V MAT2 null mice	display	enhanced sensitivity
MPP effects	can stimulate	the production
that heterozy - gous V MAT2 null mice display enhanced sensitivity to chondria	can stimulate	the production
critical effectors	impair	oxidative phosphorylation
mitochondrial release	demonstrate	that the activation of PCD is instru - c ( an electron carrier and a mediator of PCD ) , and activa - mental in MPTP toxicity
mitochondrial release	demonstrate	activa - mental
MPTP administra - formation	will help	focus research
some atypical features	have been note	PD
some atypical features	involve	protein aggregation
this prevalent presynap - tic protein	may modulate	synaptic vesicle function
( re - known pathogenic - synuclein mutations	promote	the for - mation
presynaptic nerve terminals	may cause	toxicity
parkin mutant patients	display	the classical signs
none	assess	dopaminergic nerve terminal striking response
Parkin	contain	two RING the protein
Parkin	contain	an ubiquitin - like that membrane binding elicits a functionally important alteration in the protein
membrane binding	elicit	a functionally important alteration
ligase	may be traffic	proteins
E3	ligase	confer target specificity
the dria	has been implicate	E3 ligase activity
dopaminergic neurodegen - neurons parkin overexpression	attenuate	cyclin E ac - eration
This minergic neurons	catalyze	the hydrolysis
UCH - L1	exert	a previously unrecognized ubi - quitin ligase activity
transgenic coexpression	prevent	the dopaminergic neuronal loss
dysfunction	reproduce	features
Paraquat	elicit	neurobehavior al syndrome tance
Neurology	preserve	dopamine neurons
Neurology	preserve	motor function
Mutation Systemic administration	produce	selective damage
Oxi - dative damage	induce	NADH - depen - synuclein nitration
1 - Mehtyl - 4 - phenylpyridinium	induce	NADH - depen - synuclein nitration
meperidine analogue N - methyl - 4 - phenyl - 1 , 2 , 3 , 6 - tetrahydropyridine Chronic systemic complex I inhibition	induce	a hypokinetic on brain catecholamine neurons in the mouse
transporters	accelerate	dopamine - induced apoptosis
6 - hydroxydo - 53 →Thr mutation	cause	neurodegenerative disease
Mutations	cause	autosomal recessive juvenile
The neurotoxin 1 - methyl - 4 - phenylpyridinium is Dopamine neurons from transgenic mice with a knockout of the p53 gene	resist	MPTP neurotoxicity
Dopamine	transporter	me ssenger RNA
heterozygotes	display	reduced amphetamine - con - Vila
DJ	regulate	the androgen receptor
Increased Caspase	accompany	nuclear GAPDH translocation
Increased Caspase	accompany	neuronal apoptosis Warrick
immunoreactivity	accompany	nuclear GAPDH translocation
immunoreactivity	accompany	neuronal apoptosis Warrick
NADPH oxidase	mediate	oxidative stress
Gene transfer	protect	dopaminergic neurons
Probiotics	can confer	health beneﬁts
live microorganisms	can confer	health beneﬁts
The phylum Firmicutes	include	Gram - positive bacteria
the phylum Bacteroidetes	include	approximately 7000 species
dysbiotic increases	do not change	the F / B ratio
probiotics	can treat	several diseases
Changes	can cause	obesity
Changes	can cause	inﬂammatory bowel disease
Speciﬁc probiotics	can restore	the gut microbial balance
The gut microbiota	promote	bile acid metabolism
The gut microbiota	promote	modiﬁes hepatic triglyceride
The gut microbiota	promote	glucose homeostasis
Qatari subjects	exhibit	altered gut microbiota
( BMI < 25 kg / m2 ) Korean adolescents ( aged 13 – 16 years )	reveal	no significant differences
rhamnosus hsryfm	decrease	Firmicutes
Enhanced insulin sensitivity	decrease	low - density lipoprotein cholesterol
The administration of Lactobacillus rhamnosus GG and Lactobacillus sakei NR28	decrease	the F / B ratio
the two probiotic strains	reduce	epididymal fat mass
the two probiotic strains	reduce	stearoyl - CoA desaturase
rhamnosus hsryfm	reduce	serum lipid levels
A 12 - week high - fat diet	induce	an obese insulin - resistant condition
salivarius Ls - 33	increase	the Bacteroidetes – Prevotella – Porphyromonas – Firmicutes ratio
Apart from Lactobacillus , bacteria from the genus Bacillus , namely Bacillus amyloliquefaciens SC06 ,	decrease	the F / B ratio
Apart from Lactobacillus , bacteria from the genus Bacillus , namely Bacillus amyloliquefaciens SC06 ,	decrease	body weight
Apart from Lactobacillus , bacteria from the genus Bacillus , namely Bacillus amyloliquefaciens SC06 ,	decrease	hepatic steatosis
IBD	encompass	two types
UC	cause	long - lasting inﬂammation
CD	cause	inﬂammation
TNF - α	play	a pivotal role
Gut microbiota	can induce	inﬂammatory reactions
TLRs	maintain	gut homoeostasis
The TLR heterodimers	triacylate	lipopeptides
certain TLRs	play	a protective role
TLR - 9	recognize	bacterial CpG DNA
Gut microbiota metabolites	can protect	the host
SCFAs	increase	extrathymic regulatory T cell
SCFAs	promote	the synthesis
prausnitzii	demonstrate	anti - inﬂammatory
prausnitzii	reduce	the severity
A fecal microbial analysis	reveal	decreased abundancies
Bacteroidetes bacteria	exhibit	pro - inﬂammatory properties
Firmicutes bacteria	exhibit	anti - inﬂammatory
biﬁdum WBIN03	increase	unidentiﬁed Firmicutes
Increased antioxidant factors	decrease	TNF - α
[ 85 ] L . fermentum KBL374 and L . fermentum KBL375 Increased Lactobacillus	decrease	Bacteroides
[ 85 ] L . fermentum KBL374 and L . fermentum KBL375 Increased Lactobacillus	decrease	Mucispirillium
reuteri DSM	affect	gut microbial homeostasis
The probiotic gavage	increase	the proportion
reuteri DSM	support	trafficking of regulatory T cells
Both live and heat - killed bacteria	increase	Firmicutes
The probiotic	exert	an ti - inflammatory effects
The combination	reduce	UC
The probiotic mixture	increase	the abundance
the two probiotics	downregulate	TNF - α and
the two probiotics	downregulate	upregulated antioxidant factors
fermentum KBL374 and L . fermentum	correct	gut dysbiosis
IBD patients	receive	a probiotic yogurt
biﬁdobacteria - fermented milk	reduce	the relative proportion
Biﬁdobacteria	alter	gut microbiota
the F / B ratio	can reduce	weight gain
The gut microbiota	suppress	insulin - mediated fat accumulation
Obesity	alter	the microbial community proﬁle
Lactobacillus paracasei HII01	reduce	gut disturbance
xylooligosaccharides	reduce	gut disturbance
synbiotics	reduce	gut disturbance
Saccharomyces boulardii administration	changes	gut microbiota
Microbiota - dependent crosstalk	promote	intestinal homeostasis
Metabolites	promote	peripheral regulatory T - cell generation
Microbiota - derived short - chain fatty acids	promote	Th1 cell IL - 10 production
High - throughput clone library analysis	reveal	dysbiosis between inﬂamed and non - inﬂamed regions
Commensal Bacteroides species	induce	colitis
Lactobacillus reuteri DSM 17938 feeding	regulate	immune responses
Lactobacillus plantarum AN1 cells	increase	caecal L
Lactobacillus fermentum species	ameliorate	dextran sulfate sodium - induced colitis
Butyrylated starch	increase	colonic butyrate concentration
Consumption	increase	Faecalibacterium prausnitzii abundance
